loc;cam;ph;p;k;ca;mg;al;ctc;sat;mo;arg;are;cas;acc
38;[40, 80);5.3;0.1;7.15;0.49;0.33;0.1;3.43;24.48;7.4;456;340.5;19.4;353.27
39;[0, 5);6.4;2.2;52.86;3.89;0.73;0;6.62;71.92;27.7;192.2;631.5;3.9;632.93
39;[5, 40);5.2;0.1;15.72;0.94;0.4;0.5;4.62;29.92;6.5;309.4;558;19.9;566.81
39;[40, 80);5.3;0.01;8.57;1.03;0.16;0.2;3.53;34.32;4.2;396.1;478.5;22.5;490.24
40;[0, 5);6.1;3.26;82.86;2.91;1.29;0;7.01;63;28.8;202.8;686;183.3;746.84
40;[5, 40);5.3;0.31;35.72;0.69;0.53;0.3;5.84;22.63;7.8;393.7;476.5;433.9;788.73
40;[40, 80);5.4;0.01;21.43;0.94;0.3;0.5;6.35;20.53;2.5;487.2;330.5;230.8;497.28
41;[0, 5);6.9;2.13;46.9;10.42;3.01;0;15.87;85.38;66.1;386.1;406.5;12.8;414.08
41;[5, 40);6.3;3.62;48.46;4.63;2.57;0;11.84;61.85;0;295.5;567;28.4;579.31
41;[40, 80);6.2;2.44;23.46;1.51;1.99;0;5.64;63.17;8;503.7;405;39.2;428.32
42;[0, 5);6.9;9.58;128.19;7.63;3.17;0;12.99;85.7;69.6;270;585;24.6;595.23
42;[5, 40);6.5;0.01;14.07;6.7;3.25;0;13.22;75.52;30.6;500;365;7.6;369.81
42;[40, 80);6.7;0.01;7.82;2.3;0.82;0;4.63;67.86;8.4;563.6;304;17.1;315.91
43;[0, 5);6.6;4.3;127.15;12.77;3.36;0;18.54;88.8;83.5;349;569.5;19;577.69
43;[5, 40);6.7;0.94;20;11.08;1.81;0;15.27;84.81;40.6;579.6;331.5;11.5;339.21
43;[40, 80);7.2;0.1;21.43;3.99;1.4;0;6.78;80.36;9.1;580.7;311;20.5;325.14
44;[0, 5);6.5;2.34;178.22;7.75;1.9;0;12.7;79.59;35.1;324.2;478.5;18.6;488.21
44;[5, 40);5.6;0.21;25.01;5.14;0.92;0;10.18;60.27;21.2;429.3;412;31.8;430.69
44;[40, 80);5.7;0.01;12.5;2.24;1.19;0;5.78;59.9;6.6;530;365.5;13.6;374.11
45;[0, 5);6;3.67;48.57;4.87;1.36;0;9.26;68.7;31.2;255.2;620.5;16.8;626.87
45;[5, 40);5;1.26;22.85;1.17;0.99;0.5;6.26;35.47;15;332;577;21.3;586
45;[40, 80);5.4;0.21;12.85;1.65;0.5;0;5.08;42.98;7.8;418.3;563;13.1;568.71
46;[0, 5);6.2;2.34;51.59;2.4;1.46;0;6.58;60.63;31.2;260.2;643.5;8.5;646.53
46;[5, 40);5.4;0.01;15.64;1.3;0.28;0;4.52;35.87;10.9;331.3;577;9.8;581.15
46;[40, 80);5.8;0.01;31.26;1.19;0.19;0;3.78;38.63;10.5;444.6;446;9.5;451.26
47;[0, 5);7;3.4;112.57;9.75;1.41;0;13.12;87.33;54;244.1;560;63.9;590.42
47;[5, 40);6.8;0.01;39.08;8.35;0.82;0;11.13;83.31;24.6;410.4;481.5;169;667
47;[40, 80);6.9;0.01;28.14;4.73;0.58;0;7.04;76.41;10.2;390.4;499;190.7;757.24
48;[0, 5);6.8;33.42;65.66;11.88;1.2;0;15.11;87.71;58.9;352;390.5;90.9;445.89
48;[5, 40);6.1;0.01;20.32;7.37;4.92;0;15.59;79.23;18.1;554.7;323;301;550.83
48;[40, 80);6.3;0.01;14.07;6.45;3.43;0;12.24;81.05;14.9;563.7;238.5;384.7;565.15
49;[0, 5);6.7;4.26;115.69;12.61;1.65;0;16.63;87.52;61.8;461.4;474.5;74.2;513.49
49;[5, 40);6.1;0.01;23.46;5.43;1.85;0;10.96;67.01;24.3;469.4;352;290;539.9
49;[40, 80);6.2;0.01;15.64;3.36;1.19;0;6.91;66.44;12.8;592.5;248.5;481.6;610.41
50;[0, 5);6.9;3.94;93.8;11.38;1.99;0;15.47;87.99;62.1;375.9;421.5;52.9;452.09
50;[5, 40);7.5;3.19;32.83;8.41;1.26;0;11.09;88;29;439.2;390.5;48.3;419.93
50;[40, 80);7.4;0.01;18.76;4.49;0.89;0;6.92;78.49;10.2;563.9;312.5;71;361.28
