unid;rept;metodo;arg;sil;argsil;are1;are2;are3;are4;are5;silic;alumi;ferro;co;dp;ds
4;2;Pip;311.3965390631;70.505328191;381.9018672541;0.3905983884;14.3863684503;174.1962362862;385.0697902437;44.0551393773;62;147;68;4.9;2.76;1.0585628074
4;3;Pip;311.3965390631;70.505328191;381.9018672541;0.3905983884;14.3863684503;174.1962362862;385.0697902437;44.0551393773;62;147;68;4.7;2.76;1.1144099213
4;4;Pip;311.3965390631;70.505328191;381.9018672541;0.3905983884;14.3863684503;174.1962362862;385.0697902437;44.0551393773;62;147;68;4.4;2.76;1.0324740456
5;1;Pip;364.6496318795;203.1952562763;567.8448881558;0.2379234898;26.2323274016;192.7808638495;176.2952079794;36.608789124;92;213;78;7.7;2.67;0.9846324665
5;2;Pip;364.6496318795;203.1952562763;567.8448881558;0.2379234898;26.2323274016;192.7808638495;176.2952079794;36.608789124;92;213;78;8;2.67;1.0481906981
5;3;Pip;364.6496318795;203.1952562763;567.8448881558;0.2379234898;26.2323274016;192.7808638495;176.2952079794;36.608789124;92;213;78;8.1;2.67;1.11705722
5;4;Pip;364.6496318795;203.1952562763;567.8448881558;0.2379234898;26.2323274016;192.7808638495;176.2952079794;36.608789124;92;213;78;7.8;2.67;1.100039212
6;1;Pip;398.5656090229;114.3792510451;512.944860068;0.396383349;15.9343077465;159.2622843679;276.1964136315;35.2657508373;41;173;177;6.4;2.81;1.1271032379
6;2;Pip;398.5656090229;114.3792510451;512.944860068;0.396383349;15.9343077465;159.2622843679;276.1964136315;35.2657508373;41;173;177;6.3;2.81;1.0784604525
6;3;Pip;398.5656090229;114.3792510451;512.944860068;0.396383349;15.9343077465;159.2622843679;276.1964136315;35.2657508373;41;173;177;6;2.81;1.0413515418
6;4;Pip;398.5656090229;114.3792510451;512.944860068;0.396383349;15.9343077465;159.2622843679;276.1964136315;35.2657508373;41;173;177;6.7;2.81;1.0966263232
7;1;Pip;419.8130167716;195.468353383;615.2813701545;0.580119049;16.3775719564;166.7028262843;173.5664313531;27.4916812026;56;204;231;9;2.95;0.9801116852
7;2;Pip;419.8130167716;195.468353383;615.2813701545;0.580119049;16.3775719564;166.7028262843;173.5664313531;27.4916812026;56;204;231;9.7;2.95;0.9931826806
7;3;Pip;419.8130167716;195.468353383;615.2813701545;0.580119049;16.3775719564;166.7028262843;173.5664313531;27.4916812026;56;204;231;9.5;2.95;0.9910229292
7;4;Pip;419.8130167716;195.468353383;615.2813701545;0.580119049;16.3775719564;166.7028262843;173.5664313531;27.4916812026;56;204;231;9.2;2.95;0.9250915526
8;1;Pip;490.2047647691;166.4123373092;656.6171020783;0.3849208543;20.7399585557;121.4189653254;169.7645805147;31.0744726716;90;179;298;13.4;2.92;0.960883043
8;2;Pip;490.2047647691;166.4123373092;656.6171020783;0.3849208543;20.7399585557;121.4189653254;169.7645805147;31.0744726716;90;179;298;12.9;2.92;1.0338486112
8;3;Pip;490.2047647691;166.4123373092;656.6171020783;0.3849208543;20.7399585557;121.4189653254;169.7645805147;31.0744726716;90;179;298;13.3;2.92;0.9843100928
8;4;Pip;490.2047647691;166.4123373092;656.6171020783;0.3849208543;20.7399585557;121.4189653254;169.7645805147;31.0744726716;90;179;298;13.1;2.92;0.8810435823
9;1;Pip;520.5275592989;201.2785318485;721.8060911474;0.1913567697;14.6830031504;94.0936830765;139.3520917186;29.8737741375;87;205;245;12.4;2.92;0.9559038624
9;2;Pip;520.5275592989;201.2785318485;721.8060911474;0.1913567697;14.6830031504;94.0936830765;139.3520917186;29.8737741375;87;205;245;12.2;2.92;0.972405761
9;3;Pip;520.5275592989;201.2785318485;721.8060911474;0.1913567697;14.6830031504;94.0936830765;139.3520917186;29.8737741375;87;205;245;12.5;2.92;0.8994906824
9;4;Pip;520.5275592989;201.2785318485;721.8060911474;0.1913567697;14.6830031504;94.0936830765;139.3520917186;29.8737741375;87;205;245;12.5;2.92;0.9678301287
10;1;Pip;715.6164265932;158.216489791;873.8329163843;0.1285037415;3.8241646994;43.3851237275;67.7413111605;11.0879802869;180;344;105;10.3;2.69;0.8108130937
10;2;Pip;715.6164265932;158.216489791;873.8329163843;0.1285037415;3.8241646994;43.3851237275;67.7413111605;11.0879802869;180;344;105;9.9;2.69;0.7866817746
10;3;Pip;715.6164265932;158.216489791;873.8329163843;0.1285037415;3.8241646994;43.3851237275;67.7413111605;11.0879802869;180;344;105;11;2.69;0.8063096973
10;4;Pip;715.6164265932;158.216489791;873.8329163843;0.1285037415;3.8241646994;43.3851237275;67.7413111605;11.0879802869;180;344;105;10.4;2.69;0.7741652561
1;1;Ultsom;167;10;177;1;26;410;348;37;24;67;38;3.5;2.66;1.3409545836
1;2;Ultsom;167;10;177;1;26;410;348;37;24;67;38;3.2;2.66;1.3542595972
1;3;Ultsom;167;10;177;1;26;410;348;37;24;67;38;3.3;2.66;1.381520281
1;4;Ultsom;167;10;177;1;26;410;348;37;24;67;38;3.4;2.66;1.3167508001
2;1;Ultsom;262;0;262;0;57;354;254;73;34;85;85;4.1;2.76;1.299822583
2;2;Ultsom;262;0;262;0;57;354;254;73;34;85;85;4.2;2.76;1.2482246875
2;3;Ultsom;262;0;262;0;57;354;254;73;34;85;85;4;2.76;1.3260476441
2;4;Ultsom;262;0;262;0;57;354;254;73;34;85;85;4;2.76;1.1656472546
3;1;Ultsom;312;20;332;4;7;218;356;82;24;113;116;5;2.75;1.2609260003
3;2;Ultsom;312;20;332;4;7;218;356;82;24;113;116;5.1;2.75;1.2241738376
3;3;Ultsom;312;20;332;4;7;218;356;82;24;113;116;5;2.75;1.1968076209
3;4;Ultsom;312;20;332;4;7;218;356;82;24;113;116;4.9;2.75;1.2088708814
4;1;Ultsom;375;7;382;1;17;228;329;42;62;147;68;4.5;2.76;1.1569950883
4;2;Ultsom;375;7;382;1;17;228;329;42;62;147;68;4.9;2.76;1.0585628074
4;3;Ultsom;375;7;382;1;17;228;329;42;62;147;68;4.7;2.76;1.1144099213
4;4;Ultsom;375;7;382;1;17;228;329;42;62;147;68;4.4;2.76;1.0324740456
