biocar;dosep;bloc;tens;umid
SP_B;96;I;8;0.216
SP_B;96;I;10;0.195
SP_B;96;I;33;0.127
SP_B;96;I;66;0.126
SP_B;96;I;100;0.108
SP_B;96;I;300;0.116
SP_B;96;I;1500;0.101
SP_B;96;II;0;0.474
SP_B;96;II;1;0.186
SP_B;96;II;2;0.178
SP_B;96;II;4;0.159
SP_B;96;II;6;0.164
SP_B;96;II;8;0.162
SP_B;96;II;10;0.154
SP_B;96;II;33;0.124
SP_B;96;II;66;0.124
SP_B;96;II;100;0.11
SP_B;96;II;300;0.107
SP_B;96;II;1500;0.107
SP_B;96;III;0;0.462
SP_B;96;III;1;0.44
SP_B;96;III;2;0.393
SP_B;96;III;4;0.357
SP_B;96;III;6;0.297
SP_B;96;III;8;0.243
SP_B;96;III;10;0.224
SP_B;96;III;33;0.156
SP_B;96;III;66;0.143
SP_B;96;III;100;0.135
SP_B;96;III;300;0.134
SP_B;96;III;1500;0.125
SP_B;192;I;0;0.51
SP_B;192;I;1;0.467
SP_B;192;I;2;0.419
SP_B;192;I;4;0.371
SP_B;192;I;6;0.32
SP_B;192;I;8;0.263
SP_B;192;I;10;0.249
SP_B;192;I;33;0.169
SP_B;192;I;66;0.159
SP_B;192;I;100;0.157
SP_B;192;I;300;0.152
SP_B;192;I;1500;0.127
SP_B;192;II;0;0.452
SP_B;192;II;1;0.404
SP_B;192;II;2;0.397
SP_B;192;II;4;0.339
SP_B;192;II;6;0.279
SP_B;192;II;8;0.236
SP_B;192;II;10;0.223
SP_B;192;II;33;0.156
SP_B;192;II;66;0.153
SP_B;192;II;100;0.134
SP_B;192;II;300;0.133
SP_B;192;II;1500;0.132
SP_B;192;III;0;0.525
SP_B;192;III;1;0.467
SP_B;192;III;2;0.42
SP_B;192;III;4;0.334
SP_B;192;III;6;0.259
SP_B;192;III;8;0.212
SP_B;192;III;10;0.196
SP_B;192;III;33;0.137
SP_B;192;III;66;0.122
SP_B;192;III;100;0.116
SP_B;192;III;300;0.116
SP_B;192;III;1500;0.098
SP_B;384;I;0;0.562
SP_B;384;I;1;0.516
SP_B;384;I;2;0.469
SP_B;384;I;4;0.396
SP_B;384;I;6;0.291
SP_B;384;I;8;0.284
SP_B;384;I;10;0.272
SP_B;384;I;33;0.205
SP_B;384;I;66;0.203
SP_B;384;I;100;0.197
SP_B;384;I;300;0.186
SP_B;384;I;1500;0.166
SP_B;384;II;0;0.489
SP_B;384;II;1;0.437
SP_B;384;II;2;0.422
SP_B;384;II;4;0.359
SP_B;384;II;6;0.316
SP_B;384;II;8;0.273
SP_B;384;II;10;0.253
SP_B;384;II;33;0.199
SP_B;384;II;66;0.178
SP_B;384;II;100;0.174
SP_B;384;II;300;0.161
SP_B;384;II;1500;0.156
SP_B;384;III;0;0.548
SP_B;384;III;1;0.487
SP_B;384;III;2;0.48
SP_B;384;III;4;0.402
SP_B;384;III;6;0.352
SP_B;384;III;8;0.31
SP_B;384;III;10;0.288
SP_B;384;III;33;0.189
SP_B;384;III;66;0.189
SP_B;384;III;100;0.185
SP_B;384;III;300;0.185
SP_B;384;III;1500;0.185
SP;0;I;0;0.458
SP;0;I;1;0.408
SP;0;I;2;0.377
SP;0;I;4;0.313
SP;0;I;6;0.223
SP;0;I;8;0.192
SP;0;I;10;0.172
SP;0;I;33;0.122
SP;0;I;66;0.115
SP;0;I;100;0.109
SP;0;I;300;0.107
SP;0;I;1500;0.087
SP;0;II;0;0.495
SP;0;II;1;0.454
SP;0;II;2;0.439
SP;0;II;4;0.352
SP;0;II;6;0.256
SP;0;II;8;0.215
SP;0;II;10;0.192
SP;0;II;33;0.131
SP;0;II;66;0.125
SP;0;II;100;0.117
SP;0;II;300;0.114
SP;0;II;1500;0.09
SP;0;III;0;0.489
SP;0;III;1;0.425
SP;0;III;2;0.422
SP;0;III;4;0.326
SP;0;III;6;0.252
SP;0;III;8;0.201
SP;0;III;10;0.177
SP;0;III;33;0.125
SP;0;III;66;0.117
SP;0;III;100;0.114
SP;0;III;300;0.112
SP;0;III;1500;0.088
SP;1.5;I;0;0.482
SP;1.5;I;1;0.449
SP;1.5;I;2;0.423
SP;1.5;I;4;0.36
SP;1.5;I;6;0.252
SP;1.5;I;8;0.22
SP;1.5;I;10;0.197
SP;1.5;I;33;0.141
SP;1.5;I;66;0.13
SP;1.5;I;100;0.124
SP;1.5;I;300;0.124
SP;1.5;I;1500;0.099
SP;1.5;II;0;0.455
SP;1.5;II;1;0.385
SP;1.5;II;2;0.381
SP;1.5;II;4;0.34
SP;1.5;II;6;0.249
SP;1.5;II;8;0.221
SP;1.5;II;10;0.202
SP;1.5;II;33;0.141
SP;1.5;II;66;0.129
SP;1.5;II;100;0.125
SP;1.5;II;300;0.124
SP;1.5;II;1500;0.112
SP;1.5;III;0;0.459
SP;1.5;III;1;0.42
SP;1.5;III;2;0.397
SP;1.5;III;4;0.324
SP;1.5;III;6;0.225
