solo;tensao;posi;prof;rep;dsi;dsp;thetai;ppc;trt;ue
LVd;1500;Entrelinha;0.20-0.25 m;1;0.84;0.91;0.2953125;378.9302;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_1
LVd;1500;Entrelinha;0.20-0.25 m;2;0.95;0.99;0.3300996329;275.2758;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_2
LVd;1500;Entrelinha;0.20-0.25 m;3;0.98;1.04;0.2982120051;433.8554;LVd_Entrelinha_0.20-0.25 m;LVd_Entrelinha_0.20-0.25 m_3
LVd;1500;Linha;0.00-0.05 m;1;0.99;1.02;0.3105249745;392.673;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_1
LVd;1500;Linha;0.00-0.05 m;2;0.87;0.99;0.2946236559;405.0072;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_2
LVd;1500;Linha;0.00-0.05 m;3;0.99;1.01;0.3108618952;336.2991;LVd_Linha_0.00-0.05 m;LVd_Linha_0.00-0.05 m_3
LVd;1500;Linha;0.10-0.15 m;1;0.83;0.91;0.3008993071;382.0966;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_1
LVd;1500;Linha;0.10-0.15 m;2;0.86;0.97;0.291854874;484.0035;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_2
LVd;1500;Linha;0.10-0.15 m;3;0.81;0.92;0.3019157088;367.6983;LVd_Linha_0.10-0.15 m;LVd_Linha_0.10-0.15 m_3
LVd;1500;Linha;0.20-0.25 m;1;0.96;1.03;0.3093132154;456.8585;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_1
LVd;1500;Linha;0.20-0.25 m;2;0.86;0.94;0.3103888731;232.7841;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_2
LVd;1500;Linha;0.20-0.25 m;3;0.83;0.95;0.2319673371;358.3382;LVd_Linha_0.20-0.25 m;LVd_Linha_0.20-0.25 m_3
LVd;3000;Entrelinha;0.00-0.05 m;1;0.9;0.92;0.16;432.8798;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_1
LVd;3000;Entrelinha;0.00-0.05 m;2;0.99;1;0.11;476.1284;LVd_Entrelinha_0.00-0.05 m;LVd_Entrelinha_0.00-0.05 m_2
